,end,filename,start,text,speaker
0,30500,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,20500,"<font color=""#ffff00"">Sync by honeybunny</font>
<font color=""#ffff00"">www.addic7ed.com</font>",UNKNOWN
1,57636,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,54201,I'll have to use me explosives.,Willy
2,60239,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,57704,Explosives? Great.,Bart
3,62307,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,60306,"If we put charges on
the load-bearing walls,",Bart
4,63642,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,62375,we can blow up detention hall,Bart
5,66111,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,63710,"while leaving the
art room unharmed.",Bart
6,67513,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,66179,"Hmm? Hey, I like art, okay?",Bart
7,70282,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,67580,"I'm blowing up the stump,
not the school.",Willy
8,72251,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,70350,"Right, right.",Bart
9,73819,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,72318,You never saw that.,Bart
10,86265,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,85031,"Well done, boy.",Willy
11,87533,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,86332,"Wait, here comes the ""mykeeyah.""",Bart
12,88967,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,87600,What's a mykeeyah?,Willy
13,92504,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,90169,My Kia!,Skinner
14,94907,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,92572,(both laughing),NONE
15,97442,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,94974,"I'm laughing to fit in,
but I still don't get it.",Willy
16,101046,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,99145,"Miss Hoover,
what's our lesson today?",Ralph
17,102915,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,101114,Is it school?,Ralph
18,108487,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,106386,"Oh, I don't know. Let's see.",Miss Hoover
19,111957,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,109689,Family trees.,Miss Hoover
20,114893,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,112025,"Who here knows what
a family tree is?",Miss Hoover
21,116428,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,114961,"Oh, family trees--",Lisa
22,119097,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,116496,"the charts representing
genealogical relationships",Lisa
23,121066,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,119165,in a branching structure.,Lisa
24,122467,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,121134,"Very good, Lisa.",Miss Hoover
25,124236,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,122535,"Class, your assignment
over the weekend will be",Miss Hoover
26,126171,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,124304,"to make your own family tree,",Miss Hoover
27,129608,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,126239,"emphasizing any notable or
distinguished ancestors.",Miss Hoover
28,132144,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,129676,"I can't wait to see
what noble branches lie",Lisa
29,134713,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,132211,in the Simpson family foliage.,Lisa
30,135747,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,134781,(exclaims),NONE
31,139151,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,135815,"No, this can't be right.",Lisa
32,141720,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,139218,"Yech, they're all horrible.",Lisa
33,145190,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,141788,"Yeah, the Simpson family is a
long line of horse thieves,",Homer
34,149061,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,145258,"deadbeats, horse beats,
dead thieves, and even a few...",Homer
35,151396,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,149128,(whispering):...alcoholics.,Homer
36,153398,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,151464,"There must have been
some good ancestors.",Lisa
37,155167,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,153466,"Grampa,",Lisa
38,156768,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,155234,don't you know any? Not a one.,Lisa
39,159471,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,156836,"Maybe the nicest was
Abigail Simpson,",Abe
40,162074,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,159539,"who you know as the
Pittsburgh Poisoner.",Abe
41,163375,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,162141,"Listen, Lisa, you're going to find",Homer
42,164843,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,163443,more than you bargained for.,Homer
43,167512,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,164911,"If I were you,
I wouldn't dig into the past.",Homer
44,171316,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,167580,"I lived in some of that past,
and I got out for a reason.",Homer
45,173452,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,171384,"I won't give up.
I have to know that somewhere",Lisa
46,175988,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,173519,"in the muck and the mire and
the Pittsburgh Poisoners,",Lisa
47,177723,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,176055,"this family had a noble spark,",Lisa
48,180993,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,177790,"and I will find it, even if I
have to go back to Adam and Eve.",Lisa
49,182327,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,181060,"Oh, you mean",Abe
50,183762,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,182395,"Adam and Eve Simpson,",Abe
51,187466,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,183830,"or as you may know them,
Julius and Ethel Rosenberg.",Abe
52,189201,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,187533,(groans),NONE
53,191036,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,189268,(grunting),NONE
54,193138,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,191104,Ooh! Whoa!,Lisa
55,199344,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,196576,"Well, are you going
to help me or what?",Lisa
56,206852,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,204450,(cracking),NONE
57,215394,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,214093,Thank you.,Lisa
58,217596,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,215461,"So, what are you looking for?",Bart
59,220332,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,217664,"Family records for a school
project on genealogical...",Lisa
60,222401,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,220400,"Hey, that's great.",Bart
61,238483,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,235982,"Hey, Dad's idea pad.",Lisa
62,241219,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,238551,"<i>Bicentennial issue of
Reader's Digest.</i>",Lisa
63,243455,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,241287,Old ad for Buzz Cola.,Lisa
64,245757,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,243523,(gasps),NONE
65,248160,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,245825,So dusty.,Lisa
66,256802,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,253633,"The ""Diary of Eliza Simpson""?",Lisa
67,259871,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,256869,"This entry is dated April 14, 1860.",Lisa
68,261907,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,259939,"I warn you: I don't
know what's in there,",Homer
69,265110,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,261974,"but if it's about a Simpson,
you ain't gonna be proud.",Homer
70,268413,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,265178,"Our ancestors were
kicked out of Australia.",Abe
71,269815,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,268481,"Oh, stop.",Marge
72,271950,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,269882,"It's the journal of
a sweet little girl.",Marge
73,273018,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,272018,"Keep reading, honey.",Marge
74,274386,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,273086,"""Dearest diary,",Lisa
75,276588,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,274454,"today I am the happiest
girl in Springfield...""",Lisa
76,278423,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,276656,"See, all good.",Marge
77,281359,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,278491,"""...because tomorrow I shall
get my very first slave.""",Lisa
78,282327,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,281427,(all gasp),NONE
79,286513,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,283513,"I can't believe we're
descended from slave owners.",Lisa
80,288081,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,286581,Me neither.,Homer
81,289983,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,288149,"For once, the Simpsons
were in management.",Homer
82,291218,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,290051,Homer.,Marge
83,294588,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,291285,"Oh, read a little more, honey.",Marge
84,297557,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,294655,"""Saturday, April 14, 1860.",Lisa
85,299426,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,297625,"""Dear Diary, I must be brief,",Lisa
86,301294,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,299493,"""for tonight is the grand ball",Lisa
87,303463,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,301362,"at Colonel Burns's plantation.""",Lisa
88,305498,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,303531,"I shall dress myself in finery,",Eliza
89,307367,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,305566,like a well-to-do Southern belle.,Eliza
90,308702,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,307435,What's for dinner?,Hiram
91,312205,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,308769,"Possum. Oh, can't we have opossum?",Hiram
92,313740,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,312273,Not on your salary.,Mabel
93,317444,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,313808,"I can't believe I buttoned
my britches for this.",Hiram
94,320247,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,317511,"In my elegant gown,
no one will suspect",Eliza
95,322249,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,320314,"that I'm actually
on a mission to help",Eliza
96,324651,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,322316,"my very first slave
escape to freedom.",Eliza
97,327287,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,324719,Yes! She wasn't a slave owner.,Lisa
98,330523,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,327355,"Our family was on the
Underground Railroad.",Lisa
99,332993,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,330591,We ran a subway station?,Bart
100,334594,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,333060,"No, the Underground Railroad",Lisa
101,337097,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,334662,"was a bunch of people who
helped slaves escape to Canada.",Lisa
102,339599,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,337164,"There were no actual trains
and it wasn't under ground.",Lisa
103,342335,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,339667,"Then they should've called it
the Aboveground Normal-Road.",Bart
104,344004,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,342403,"Good point, Bart. Absolutely.",Homer
105,345505,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,344071,"Hadn't thought of that before.
Very good, Bart.",Lisa
106,347374,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,345573,"That's a great story, Lisa!",Homer
107,349910,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,347441,"And you should stop
reading right there.",Homer
108,352579,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,351379,Wh-What are you doing?,Lisa
109,354180,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,352647,I want to know what happens next.,Lisa
110,355482,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,354248,"Well, I don't.",Homer
111,357317,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,355549,The motto of the Simpsons is:,Homer
112,358785,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,357385,"""Quit while you're ahead.""",Homer
113,360253,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,358853,I made it into a sampler.,Marge
114,364090,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,362223,"It's like when your
father and I left",Marge
115,367060,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,364158,"<i>the movie Carrie right after she
was crowned prom queen.</i>",Marge
116,369095,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,367128,She was so happy.,Marge
117,371631,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,369163,"She had a lot of problems,
but they were all behind her.",Marge
118,372966,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,371699,"But, but, but-but-but...",Lisa
119,374434,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,373034,"Time for bed, sweetie.",UNKNOWN
120,375402,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,374502,(grunts in protest),NONE
121,380473,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,376737,"<i>ELIZA: Lisa. Lisa, it's me.</i>",UNKNOWN
122,382642,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,380541,"<i>Eliza, the one good Simpson.</i>",Diary
123,385245,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,382710,<i>I've got so much more to tell you.</i>,Diary
124,391384,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,389216,I must know.,Lisa
125,396289,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,395122,(panting),NONE
126,400093,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,398492,(humming),NONE
127,406032,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,403264,You still reading that thing?,Homer
128,409035,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,406100,"I'm warning you: When
something goes into that vent,",Homer
129,410637,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,409103,it shouldn't come out...,Homer
130,412605,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,410705,ever.,Homer
131,414607,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,412673,"<i>Well, I am reading it,
and when I'm finished,</i>",Lisa
132,416543,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,414675,I'm going to use Eliza's diary,Lisa
133,418611,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,416610,"for my ""Black History
Month"" presentation.",Lisa
134,420146,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,418679,"Ooh, good idea.",Marge
135,422449,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,420214,"Bart, what are you doing
for Black History Month?",Marge
136,425085,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,422516,"I got an idea:
You can march to Selma,",Homer
137,426286,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,425152,and tell her she's ugly!,Homer
138,427587,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,426354,(laughs),NONE
139,429089,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,427655,(gags),NONE
140,432692,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,430458,"Listen. ""April 20, 1860.",Lisa
141,435695,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,432760,"""A week ago, I had no idea
what the future would bring,",Lisa
142,438298,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,435763,"""which, I guess, is always
true of everyone all the time.",Lisa
143,440066,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,438366,"""Anyway, last Saturday night,",Lisa
144,441568,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,440134,"I went to Colonel Burns's ball.""",Lisa
145,448575,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,445806,"(""Blue Danube Waltz"" playing)",NONE
146,455515,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,452613,"I don't like this new Viennese
dance craze, ""the waltz.""",Colonel Burns
147,457183,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,455583,"One, two, three, one, two, three...",Colonel Burns
148,460153,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,457251,"Where's the ""four""?
All music needs a four!",Colonel Burns
149,463056,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,460221,"I'll have the orchestra adjust
its time signature, sir.",Smithers
150,464791,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,463124,See that you do.,Colonel Burns
151,466559,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,464859,* *,UNKNOWN
152,467994,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,466627,(whispering),NONE
153,472732,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,471198,(music switches to four-four time),NONE
154,476302,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,474101,(all clamoring),NONE
