,end,filename,start,text,speaker
309,883298,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,881030,That's exactly my price.,Hiram
310,884699,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,883365,Your man Virgil is...,Hiram
311,885867,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,884767,in...,Hiram
312,886868,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,885935,"Father, no!",Eliza
313,888603,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,886936,"Eliza, hold your tongue!",Hiram
314,890872,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,888671,"Don't worry, I'll handle this one.",Colonel Burns
315,893708,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,890940,"Young lady, in this day and age,",Colonel Burns
316,896044,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,893776,"women only express their
opinions in diaries",Colonel Burns
317,898413,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,896111,"to be found long
after they're gone.",Colonel Burns
318,900548,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,898481,"From the day you were born,
you were brought up",Colonel Burns
319,903117,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,900616,to crave the approval of a man.,Colonel Burns
320,905720,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,903185,"And I know you really
want to be a good girl,",Colonel Burns
321,908857,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,905788,"and good girls are
seen and not heard.",Colonel Burns
322,911326,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,910025,(stifled protest),NONE
323,913962,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,912661,"Yes, sir.",Eliza
324,915296,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,914029,That-a-girl.,Colonel Burns
325,918366,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,916632,"Now, where's my man?",Colonel Burns
326,919334,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,918434,In the turnip shed.,Hiram
327,920602,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,919401,"Now, what's my surprise?",Colonel Burns
328,923438,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,920669,"Your surprise is a
new pair of shoes.",Colonel Burns
329,926741,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,923506,"Oh, my God, that
surprise is so pleasant.",Hiram
330,930678,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,926809,(sobbing),NONE
331,932747,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,930746,"<i>MILFORD (with Southern accent):
After that fateful day,</i>",UNKNOWN
332,937552,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,932815,"(normal voice): ""I could never
even look at Eliza again.""",Milhouse
333,939053,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,937620,"It didn't help that the next day,",Milhouse
334,941089,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,939121,"he drank bad well
water and went blind.",Milhouse
335,942490,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,941156,No! You lie!,Lisa
336,945560,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,942558,Eliza Simpson can't be a coward.,Lisa
337,947896,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,945628,"(voice breaking): She's the
only decent ancestor I have.",Lisa
338,950632,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,947963,"Ach. Take it outside, lassie.",Willy
339,952734,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,950699,"We've still got three
""Jackie Robinsons""",Willy
340,955403,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,952801,"and a ""Tuskegee Airmen"" to go.",Willy
341,957138,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,955471,(crying) And so many Obamas.,Willy
342,958373,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,957206,"(all impersonating
Obama) Yes, we can.",Kids
343,960375,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,958440,Audacity of hope. Let me be clear.,Kids
344,965417,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,963116,"As I told you,
we don't have any books",Librarian
345,967553,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,965485,pertaining to Eliza Simpson.,Librarian
346,969621,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,967620,"But I need to prove
that my ancestor",Lisa
347,971623,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,969689,"couldn't have backed
down to Colonel Burns.",Lisa
348,973158,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,971691,Colonel Burns?,Librarian
349,975360,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,973226,"Why, I haven't heard my
father's name in years.",Mr Burns
350,977629,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,975428,(sobbing),NONE
351,980299,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,977697,"You know, you could
try our film vault.",Librarian
352,981400,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,980366,Huh?,Librarian 2
353,983402,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,981468,We have a film vault?,Librarian 2
354,985604,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,983470,"It's where we hooked up
during the Christmas party.",Librarian
355,987072,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,985672,Oh.,Librarian 2
356,992811,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,991744,"INTERVIEWER (on film): So,
Miss Eliza, I understand",Interviewer on film
357,994947,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,992879,you just turned 100.,Interviewer on film
358,997549,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,995014,It's been quite a life.,Eliza
359,998784,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,997617,Any regrets?,Interviewer on film
360,1000352,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,998852,Just one.,Eliza
361,1003222,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1000420,"When I was a girl,
I witnessed a grave injustice,",Eliza
362,1004790,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1003289,but I held my tongue.,Eliza
363,1007626,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1004858,"That pat on my head
from a wicked man",Eliza
364,1009728,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1007694,has haunted me to this day.,Eliza
365,1014399,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1012532,(sobbing),NONE
366,1017436,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1014467,There's no noble Simpson.,Lisa
367,1020672,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1017504,"Oh, you were right, Dad.",Lisa
368,1022674,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1020740,"I should have quit
while I was ahead",Lisa
369,1024243,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1022742,"instead of learning
the horrible truth",Lisa
370,1025577,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1024310,about our family and Virgil.,Lisa
371,1030716,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1028314,"Aw, don't cry, meat pie.",Abe
372,1033352,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1030783,"Things worked out pretty
well for Virgil in the end.",Abe
373,1034953,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1033419,What are you talking about?,Lisa
374,1036522,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1035021,"Is there something
you know about Virgil",Lisa
375,1037956,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1036589,that you haven't told us?,Lisa
376,1040292,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1038024,I'll take that secret to my grave--,Abe
377,1042995,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1040360,"or urn, or medical
school dissecting table,",Abe
378,1044096,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1043062,or wherever you're dumping me.,Abe
379,1046165,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1044164,"Listen, Wrinkles,",Homer
380,1047599,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1046232,"if you know something that'll
cheer up my little girl,",Homer
381,1049234,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1047667,you'd better spill it.,Homer
382,1052838,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1049302,"Or I can make things very
uncomfortable for you.",Homer
383,1054840,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1052906,That enough?,Homer
384,1057376,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1054908,"Ah! Okay, I'll talk.",Abe
385,1060412,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1057443,"D-Day is June 6th.
Repeat: June 6th.",UNKNOWN
386,1063282,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1060480,"Allied forces will land
on the beaches of Normandy",Abe
387,1066218,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1063349,"in the following order-- Utah,
Omaha, Gold, Juno.",Abe
388,1067653,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1066286,"Are you writing this down, Fritz?",Abe
389,1068954,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1067720,About Virgil.,Homer
390,1070222,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1069022,"Oh, right.",Abe
391,1072991,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1070290,"Well, Lisa, Mabel
knew her husband well,",Abe
392,1076662,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1073059,"<i>so she cooked up a little
payback pie.</i>",Abe
393,1078897,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1077864,(gasps),NONE
394,1081233,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1078965,"Get off my property, Colonel Burns.",Mabel
395,1083435,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1081301,"And if I ever see you
in these parts again...",Mabel
396,1084703,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1083503,(shotgun cocking),NONE
397,1086271,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1084771,...you're gonna be a Memphis belle.,Mabel
398,1091009,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1087640,"Very well. You may
have won this round,",Colonel Burns
399,1093412,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1091077,but someday my history will be told,Colonel Burns
400,1095747,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1093479,"by my descendants
Ken and Ric Burns.",Colonel Burns
401,1100185,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1098117,I knew you'd break your promise.,Mabel
402,1102120,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1100253,Now I'm taking Virgil to freedom.,Mabel
403,1104923,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1102188,<i>You defied your husband for me?</i>,Virgil
404,1106892,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1104991,"<i>Man, this is the '60s.</i>",Virgil
405,1108694,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1106960,Now let's take you to a place,Mabel
406,1111730,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1108761,"where a black man can
blend in-- Canada.",Mabel
407,1115100,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1113600,"<i>GRAMPA: So, with those words,</i>",UNKNOWN
408,1117536,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1115168,"<i>Mabel and Virgil headed north,</i>",Abe
409,1120105,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1117604,"<i>but their journey was
fraught with peril.</i>",Abe
410,1121173,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1120173,(gasps),NONE
411,1123775,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1122575,Hmm...,Woman
412,1130482,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1127013,"Mabel, why don't I go on alone,
and you go back to Hiram?",Virgil
413,1131550,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1130550,No.,Mabel
414,1133352,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1131618,There's no life for me with him.,Mabel
415,1134853,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1133419,I just need to disguise my hair.,Mabel
416,1135887,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1134921,But how?,Mabel
417,1137990,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1135955,May I be of assistance?,Abraham Lincoln
418,1140492,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1138057,Abraham Lincoln?! (gasps),Mabel
419,1143195,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1140560,"Perhaps this hat will
help disguise your hair.",Abraham Lincoln
420,1144663,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1143263,Thank you.,Mabel
421,1148300,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1146566,How's it look?,Mabel
422,1150469,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1148368,"It makes you look like a
potbellied stove. (annoyed grunt)",Abraham Lincoln
423,1152471,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1150536,"Hey, hey, ""Honest Abe.""",Abraham Lincoln
424,1154940,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1152538,"(laughs) Oh, I'm a riot.",Abraham Lincoln
425,1158076,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1155008,"<i>GRAMPA: As the border drew close,
so did Virgil and Mabel.</i>",Abe
426,1159878,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1158144,After you.,Virgil
427,1163782,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1159946,"<i>By the time they crossed into Canada,
things had changed.</i>",Abe
428,1168186,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1163850,"<i>(theme from Ken Burns's The
Civil War playing)</i>",NONE
429,1170188,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1168254,<i>Mabel she divorced Hiram</i>,Abe
430,1172124,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1170256,"<i>and got one of his shoes
in the settlement.</i>",Abe
431,1180098,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1175728,"<i>Mabel and Virgil lived out the
rest of their days in peace.</i>",Abe
432,1183035,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1180166,"<i>They got married, and since
Virgil had no last name,</i>",Abe
433,1184936,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1183102,<i>they both took the name Simpson</i>,Abe
434,1186438,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1185004,<i>so that Mabel could keep</i>,Abe
435,1189107,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1186506,<i>all her monogrammed table linens.</i>,Abe
436,1192577,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1189175,"<i>And their son, Abraham Simpson,</i>",Abe
437,1194780,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1192645,<i>was my great-grandfather.</i>,Abe
438,1202888,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1198918,"So you're actually descended
from Virgil, not Hiram.",Abe
439,1204423,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1202955,Are ya happy?,Abe
440,1206191,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1204490,Yes. I'm thrilled.,Lisa
441,1208593,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1206259,"We've regained our family honor,",Lisa
442,1211129,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1208661,<i>and we're 1/64th black.</i>,Lisa
443,1213598,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1211197,So that's why I'm so cool.,Bart
444,1215834,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1213666,That's why my jazz is so smooth.,Lisa
445,1218837,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1215902,"And that's why I earn less
than my white co-workers.",Homer
446,1220339,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1218905,"Grampa, why'd you try to",Lisa
447,1222140,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1220406,keep us from finding this out?,Lisa
448,1225110,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1222208,"Well, it's hard to explain
this to a young person,",Abe
449,1229047,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1225178,"but people of my
generation are, you know...",Abe
450,1230882,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1229115,Racists? That's it.,Lisa
451,1233051,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1230950,I don't know what the big deal is.,Marge
452,1236221,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1233119,"I mean, it never bothered any
of you that my father's French.",Marge
453,1238123,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1236289,"You know, Bouvier?",Marge
454,1240726,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1238191,"So that's why I love
drinking so much.",Homer
455,1242594,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1240793,"I'm French, not you.",Marge
456,1244863,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1242662,"<i>C'est la vie, baby.</i>",Homer
457,1246865,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1244931,"(""Marseillaise"" playing)",NONE
458,1248700,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1246933,(guzzling),NONE
459,1259371,the.simpsons.s21e13.720p.hdtv.x264-ctu.srt,1248768,"<font color=""#ffff00"">Sync by honeybunny</font>
<font color=""#ffff00"">www.addic7ed.com</font>",UNKNOWN
